S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
339,"1,987.32","2,011.72","1,977.26","2,001.53",14.71,0.74,"2,411,834,599.35",2022-07-14
340,"1,928.50","1,986.83","1,928.50","1,986.82",59.54,3.09,"2,044,443,007.47",2022-07-13
341,"1,916.41","1,947.53","1,908.89","1,927.28",11.68,0.61,"1,707,752,977.82",2022-07-12
342,"1,993.33","1,993.55","1,913.19","1,915.61",-77.01,-3.86,"2,325,641,022.25",2022-07-11
343,"2,031.87","2,033.06","1,988.96","1,992.62",-34.70,-1.71,"1,168,451,395.02",2022-07-08
344,"2,051.50","2,079.30","2,023.13","2,027.32",-16.60,-0.81,"1,806,204,764.98",2022-07-07
345,"2,036.46","2,046.92","1,995.18","2,043.92",13.33,0.66,"2,178,655,700.71",2022-07-06
346,"2,078.63","2,091.29","2,026.37","2,030.59",-46.08,-2.22,"2,968,485,223.95",2022-07-05
347,"2,095.62","2,148.16","2,059.25","2,076.67",-9.75,-0.47,"4,349,273,593.20",2022-07-04
348,"2,028.79","2,086.42","2,021.00","2,086.42",57.65,2.84,"2,480,473,998.90",2022-07-03
349,"2,041.94","2,053.39","2,016.75","2,028.77",-8.87,-0.44,"1,459,312,015.14",2022-07-01
350,"1,966.86","2,037.64","1,966.86","2,037.64",74.93,3.82,"2,458,619,494.89",2022-06-30
351,"1,925.74","1,963.48","1,915.44","1,962.71",41.39,2.15,"1,431,400,640.64",2022-06-29
352,"1,935.54","1,935.54","1,909.29","1,921.31",-11.82,-0.61,"1,058,263,522.26",2022-06-28
353,"1,967.30","1,985.91","1,931.64","1,933.13",-23.85,-1.22,"2,044,831,947.70",2022-06-27
354,"1,863.47","1,956.99","1,863.47","1,956.98",94.92,5.10,"2,196,141,848.83",2022-06-26
355,"1,848.38","1,878.97","1,807.18","1,862.06",13.78,0.75,"1,151,208,031.19",2022-06-24
356,"1,889.40","1,889.40","1,836.00","1,848.28",-45.25,-2.39,"1,499,709,634.92",2022-06-23
357,"1,925.46","1,926.07","1,890.07","1,893.53",-31.21,-1.62,"843,773,459.02",2022-06-22
358,"1,884.25","1,931.89","1,878.39","1,924.74",39.93,2.12,"1,253,757,714.92",2022-06-21
359,"1,934.03","1,934.08","1,880.01","1,884.81",-49.31,-2.55,"1,750,600,171.41",2022-06-20
360,"1,971.84","1,973.79","1,929.24","1,934.11",-37.27,-1.89,"1,134,091,212.35",2022-06-19
361,"1,981.21","1,990.88","1,967.23","1,971.38",-7.56,-0.38,"736,312,157.98",2022-06-17
362,"1,966.89","1,993.40","1,950.93","1,978.94",12.57,0.64,"1,187,145,518.65",2022-06-16
363,"1,999.05","1,999.05","1,946.47","1,966.37",-29.89,-1.50,"1,491,758,817.38",2022-06-15
364,"2,032.53","2,034.34","1,990.51","1,996.26",-36.07,-1.78,"1,185,546,179.44",2022-06-14
365,"2,049.31","2,052.29","2,027.22","2,032.34",-15.82,-0.77,"998,674,262.44",2022-06-13
366,"2,067.76","2,069.37","2,036.61","2,048.16",-14.64,-0.71,"894,124,114.10",2022-06-10
367,"2,082.45","2,115.59","2,058.52","2,062.81",-17.64,-0.85,"1,472,690,554.24",2022-06-09
368,"2,019.54","2,096.14","2,017.47","2,080.45",60.22,2.98,"1,640,356,608.04",2022-06-08
369,"2,065.19","2,065.19","2,016.81","2,020.23",-45.59,-2.21,"1,312,806,562.64",2022-06-07
370,"2,079.60","2,093.08","2,054.29","2,065.82",-12.89,-0.62,"1,273,385,276.82",2022-06-06
371,"2,113.13","2,117.03","2,072.08","2,078.71",-33.76,-1.60,"1,307,359,540.80",2022-06-03
