S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
711,"2,023.59","2,062.06","2,023.40","2,062.06",49.17,2.44,"4,446,222,579.00",2020-12-30
712,"2,016.26","2,031.47","2,009.38","2,012.89",5.57,0.28,"4,092,227,802.00",2020-12-29
713,"1,998.81","2,013.51","1,981.50","2,007.29",8.57,0.43,"3,850,320,045.00",2020-12-28
714,"2,047.12","2,047.19","1,994.80","1,998.65",-39.98,-1.96,"4,623,452,312.00",2020-12-27
715,"2,091.59","2,091.59","2,025.65","2,038.63",-29.83,-1.44,"5,369,046,322.00",2020-12-24
716,"2,094.27","2,127.22","2,063.13","2,068.45",7.04,0.34,"6,862,445,215.00",2020-12-23
717,"1,987.47","2,061.41","1,987.47","2,061.41",95.46,4.86,"6,740,744,432.00",2020-12-22
718,"1,919.05","1,977.42","1,874.07","1,965.96",30.33,1.57,"6,698,874,354.00",2020-12-21
719,"2,046.57","2,046.57","1,935.40","1,935.63",-96.88,-4.77,"8,612,857,317.00",2020-12-20
720,"2,058.72","2,059.80","2,025.19","2,032.51",-22.70,-1.10,"6,769,890,815.00",2020-12-17
721,"2,097.20","2,097.20","2,041.85","2,055.22",-6.20,-0.30,"5,144,675,578.00",2020-12-16
722,"2,085.56","2,100.96","2,050.90","2,061.41",-5.75,-0.28,"6,069,331,687.00",2020-12-15
723,"2,022.72","2,069.06","2,022.72","2,067.17",56.72,2.82,"7,204,136,923.00",2020-12-14
724,"1,973.75","2,010.45","1,967.44","2,010.45",46.43,2.36,"4,899,484,131.00",2020-12-13
725,"1,954.60","1,974.12","1,938.92","1,964.02",8.27,0.42,"4,146,321,050.00",2020-12-10
726,"2,006.40","2,009.81","1,948.98","1,955.75",-39.60,-1.98,"4,745,649,292.00",2020-12-09
727,"2,033.97","2,047.35","1,982.07","1,995.35",-9.04,-0.45,"5,719,436,384.00",2020-12-08
728,"1,929.46","2,004.39","1,914.42","2,004.39",72.28,3.74,"6,667,956,831.00",2020-12-07
729,"2,051.51","2,051.51","1,932.11","1,932.11",-123.34,-6.00,"7,209,180,213.00",2020-12-06
730,"2,090.79","2,118.41","2,040.99","2,055.45",-15.57,-0.75,"8,026,023,798.00",2020-12-03
731,"2,016.82","2,077.70","2,016.82","2,071.02",70.62,3.53,"7,463,482,972.00",2020-12-02
732,"2,009.46","2,022.25","1,966.18","2,000.40",3.35,0.17,"7,404,154,007.00",2020-12-01
733,"2,000.00","2,028.45","1,971.24","1,997.05",28.79,1.46,"8,867,714,682.00",2020-11-30
734,"1,912.11","1,971.42","1,912.11","1,968.27",75.02,3.96,"9,227,348,348.00",2020-11-29
735,"1,894.78","1,926.91","1,879.00","1,893.24",18.43,0.98,"7,613,030,091.00",2020-11-26
736,"1,820.87","1,874.81","1,820.87","1,874.81",64.70,3.57,"6,817,774,994.00",2020-11-25
737,"1,790.19","1,813.86","1,786.71","1,810.11",29.68,1.67,"5,442,950,189.00",2020-11-24
738,"1,789.35","1,792.41","1,772.11","1,780.43",-2.38,-0.13,"4,762,704,611.00",2020-11-23
739,"1,791.21","1,811.63","1,761.75","1,782.81",4.69,0.26,"6,878,787,665.00",2020-11-22
740,"1,750.42","1,779.21","1,750.42","1,778.12",36.32,2.08,"6,116,730,071.00",2020-11-19
741,"1,714.86","1,741.81","1,708.87","1,741.81",23.32,1.36,"4,791,041,649.00",2020-11-18
742,"1,713.71","1,722.32","1,702.70","1,718.49",10.82,0.63,"4,256,475,891.00",2020-11-12
743,"1,681.82","1,707.67","1,681.82","1,707.67",28.89,1.72,"4,099,604,742.00",2020-11-11
744,"1,660.37","1,678.79","1,659.18","1,678.79",25.98,1.57,"4,096,190,256.00",2020-11-10
745,"1,648.75","1,661.32","1,648.75","1,652.80",4.22,0.26,"3,699,879,726.00",2020-11-09
746,"1,643.29","1,648.58","1,637.80","1,648.58",12.49,0.76,"3,526,777,261.00",2020-11-08
747,"1,644.94","1,645.08","1,634.38","1,636.17",-4.47,-0.27,"2,842,469,177.00",2020-11-05
748,"1,645.53","1,645.70","1,638.69","1,640.64",-2.39,-0.15,"1,757,423,745.00",2020-11-04
749,"1,636.20","1,644.61","1,635.15","1,643.03",5.40,0.33,"2,237,964,572.00",2020-11-03
750,"1,644.01","1,646.90","1,635.64","1,637.63",-3.33,-0.20,"2,453,954,688.00",2020-11-02
751,"1,654.15","1,654.15","1,634.63","1,640.95",-4.72,-0.29,"2,930,939,007.00",2020-11-01
752,"1,661.64","1,663.41","1,640.48","1,645.67",-1.78,-0.11,"3,037,694,845.00",2020-10-29
753,"1,612.50","1,647.45","1,612.37","1,647.45",41.20,2.57,"2,725,994,069.00",2020-10-28
754,"1,609.11","1,609.52","1,596.22","1,606.25",8.54,0.53,"1,994,543,919.00",2020-10-22
755,"1,591.04","1,597.71","1,588.78","1,597.71",13.94,0.88,"1,633,246,148.00",2020-10-21
756,"1,576.62","1,583.60","1,573.06","1,583.60",13.22,0.84,"1,271,829,990.00",2020-10-20
757,"1,556.85","1,570.38","1,555.46","1,570.38",13.58,0.87,"954,656,107.00",2020-10-19
758,"1,565.90","1,567.89","1,554.14","1,556.80",-5.66,-0.36,"1,252,748,181.00",2020-10-18
759,"1,564.69","1,579.55","1,560.69","1,562.46",1.29,0.08,"1,425,890,738.00",2020-10-15
760,"1,572.35","1,573.08","1,560.45","1,561.17",-7.42,-0.47,"1,496,387,992.00",2020-10-14
761,"1,583.29","1,584.28","1,567.23","1,568.59",-9.42,-0.60,"1,819,638,977.00",2020-10-13
762,"1,580.14","1,580.80","1,566.70","1,578.01",1.74,0.11,"1,949,060,194.00",2020-10-12
763,"1,594.01","1,594.36","1,574.62","1,576.27",-13.37,-0.84,"2,395,432,599.00",2020-10-11
764,"1,607.52","1,614.04","1,586.96","1,589.63",-11.34,-0.71,"2,862,712,521.00",2020-10-08
765,"1,593.04","1,602.14","1,587.59","1,600.97",14.68,0.93,"3,358,506,296.00",2020-10-07
766,"1,588.01","1,588.01","1,581.75","1,586.29",4.17,0.26,"2,510,585,332.00",2020-10-06
767,"1,587.31","1,594.89","1,580.65","1,582.12",-3.63,-0.23,"2,578,607,088.00",2020-10-05
768,"1,577.77","1,588.05","1,577.77","1,585.75",14.71,0.94,"3,178,853,719.00",2020-10-04
769,"1,553.95","1,572.94","1,553.95","1,571.04",20.61,1.33,"2,807,708,137.00",2020-10-01
770,"1,561.58","1,563.40","1,542.57","1,550.43",-3.19,-0.21,"1,953,636,694.00",2020-09-30
771,"1,564.92","1,564.92","1,552.77","1,553.62",-7.21,-0.46,"1,829,872,968.00",2020-09-29
772,"1,566.44","1,569.31","1,557.42","1,560.83",-4.73,-0.30,"1,690,154,525.00",2020-09-28
773,"1,569.06","1,575.43","1,562.11","1,565.55",4.29,0.27,"3,138,243,371.00",2020-09-27
774,"1,565.31","1,565.31","1,554.38","1,561.27",5.74,0.37,"2,233,489,024.00",2020-09-24
775,"1,543.37","1,555.52","1,535.03","1,555.52",9.37,0.61,"1,727,821,707.00",2020-09-23
776,"1,576.55","1,577.19","1,541.75","1,546.15",-22.91,-1.46,"2,810,425,268.00",2020-09-22
777,"1,587.82","1,587.99","1,561.49","1,569.06",-6.12,-0.39,"2,637,376,216.00",2020-09-21
778,"1,595.47","1,605.12","1,574.08","1,575.18",3.00,0.19,"2,742,795,692.00",2020-09-20
779,"1,555.86","1,577.99","1,547.13","1,572.18",30.78,2.00,"3,315,664,319.00",2020-09-17
780,"1,537.35","1,543.98","1,530.67","1,541.40",5.36,0.35,"1,845,634,030.00",2020-09-16
781,"1,544.71","1,548.35","1,531.05","1,536.03",-4.47,-0.29,"1,800,197,903.00",2020-09-15
782,"1,545.68","1,553.56","1,538.43","1,540.51",3.26,0.21,"3,134,135,908.00",2020-09-14
783,"1,528.15","1,537.25","1,522.28","1,537.25",16.56,1.09,"3,386,859,972.00",2020-09-13
784,"1,514.13","1,532.48","1,512.53","1,520.69",12.49,0.83,"2,170,068,283.00",2020-09-10
785,"1,501.86","1,511.93","1,495.11","1,508.20",13.05,0.87,"2,563,415,186.00",2020-09-09
786,"1,491.33","1,500.15","1,477.25","1,495.15",7.35,0.49,"1,798,363,063.00",2020-09-08
787,"1,503.37","1,503.37","1,483.65","1,487.81",-12.17,-0.81,"2,164,930,214.00",2020-09-07
788,"1,538.42","1,538.42","1,494.97","1,499.97",-10.45,-0.69,"2,782,377,887.00",2020-09-06
789,"1,524.19","1,524.67","1,497.47","1,510.42",-0.15,-0.01,"2,634,886,231.00",2020-09-03
790,"1,509.40","1,519.78","1,499.72","1,510.57",25.58,1.72,"4,181,036,115.00",2020-09-02
791,"1,466.57","1,489.01","1,466.57","1,484.99",22.31,1.53,"3,462,586,125.00",2020-08-31
792,"1,459.16","1,462.67","1,444.92","1,462.67",4.64,0.32,"1,614,554,300.00",2020-08-30
793,"1,467.07","1,472.73","1,454.96","1,458.04",-4.00,-0.27,"1,981,761,050.00",2020-08-27
794,"1,445.47","1,468.03","1,445.47","1,462.03",21.10,1.46,"2,656,163,730.00",2020-08-26
795,"1,435.21","1,440.94","1,428.74","1,440.94",9.34,0.65,"1,855,180,510.00",2020-08-25
796,"1,413.09","1,431.60","1,413.09","1,431.60",21.26,1.51,"2,139,202,075.00",2020-08-24
797,"1,399.48","1,410.34","1,394.09","1,410.34",12.77,0.91,"1,108,053,597.00",2020-08-23
798,"1,392.89","1,403.75","1,392.89","1,397.57",6.28,0.45,"393,129,068.00",2020-08-20
799,"1,409.44","1,409.44","1,388.17","1,391.29",-16.60,-1.18,"976,235,059.00",2020-08-19
800,"1,403.98","1,414.29","1,400.81","1,407.89",5.68,0.41,"1,239,017,426.00",2020-08-18
801,"1,391.79","1,402.21","1,385.70","1,402.21",10.75,0.77,"1,074,932,597.00",2020-08-17
802,"1,407.85","1,407.85","1,381.89","1,391.46",-17.33,-1.23,"1,259,320,850.00",2020-08-16
803,"1,431.89","1,431.89","1,407.43","1,408.79",-16.53,-1.16,"1,048,911,791.00",2020-08-13
804,"1,426.55","1,427.15","1,413.55","1,425.32",1.51,0.11,"951,960,208.00",2020-08-12
805,"1,433.35","1,441.31","1,421.17","1,423.81",-6.61,-0.46,"1,271,738,914.00",2020-08-11
806,"1,394.78","1,430.41","1,394.34","1,430.41",37.74,2.71,"1,555,518,923.00",2020-08-10
807,"1,383.98","1,392.68","1,363.22","1,392.68",11.31,0.82,"977,895,525.00",2020-08-09
808,"1,387.44","1,388.68","1,365.66","1,381.37",-1.29,-0.09,"920,997,056.00",2020-08-06
809,"1,403.88","1,403.88","1,374.13","1,382.66",-21.20,-1.51,"1,189,526,408.00",2020-08-05
810,"1,395.08","1,411.13","1,384.86","1,403.86",7.59,0.54,"1,290,252,213.00",2020-08-03
811,"1,441.26","1,441.26","1,396.02","1,396.28",-42.78,-2.97,"1,841,242,332.00",2020-08-02
812,"1,433.14","1,444.06","1,421.07","1,439.06",7.53,0.53,"1,320,266,678.00",2020-07-30
813,"1,452.07","1,452.07","1,431.46","1,431.52",-23.36,-1.61,"1,687,093,091.00",2020-07-29
814,"1,463.81","1,466.04","1,449.86","1,454.89",-7.59,-0.52,"1,259,751,557.00",2020-07-28
815,"1,467.89","1,475.20","1,456.47","1,462.48",-2.62,-0.18,"1,793,915,286.00",2020-07-27
816,"1,445.60","1,464.88","1,444.77","1,465.10",22.40,1.55,"1,942,679,380.00",2020-07-26
817,"1,434.08","1,440.32","1,417.32","1,442.61",10.13,0.71,"1,327,135,218.00",2020-07-23
818,"1,452.78","1,461.29","1,429.65","1,432.44",-17.50,-1.21,"1,532,511,716.00",2020-07-22
819,"1,472.19","1,479.30","1,444.50","1,449.94",-15.00,-1.02,"1,872,220,447.00",2020-07-21
820,"1,539.37","1,556.19","1,460.15","1,464.94",-14.09,-0.96,"2,802,233,715.00",2020-07-20
821,"1,408.51","1,479.03","1,408.51","1,479.03",84.26,6.04,"62,566,293.00",2020-07-19
822,"1,364.24","1,395.82","1,362.62","1,394.77",32.43,2.38,"1,041,770,867.00",2020-07-16
823,"1,347.88","1,367.82","1,347.88","1,362.34",14.90,1.11,"1,160,491,522.00",2020-07-15
824,"1,344.42","1,349.24","1,340.66","1,347.44",5.04,0.38,"994,545,109.00",2020-07-14
825,"1,342.59","1,352.69","1,334.17","1,342.40",2.11,0.16,"1,088,716,118.00",2020-07-13
826,"1,331.31","1,351.82","1,331.31","1,340.29",9.19,0.69,"1,111,090,272.00",2020-07-12
827,"1,327.13","1,333.25","1,312.01","1,331.27",4.57,0.34,"908,086,197.00",2020-07-09
828,"1,338.54","1,343.59","1,319.10","1,326.53",-10.13,-0.76,"1,078,462,141.00",2020-07-08
829,"1,299.72","1,345.96","1,299.72","1,336.66",37.93,2.92,"1,199,041,859.00",2020-07-07
830,"1,266.08","1,298.73","1,259.94","1,298.73",33.28,2.63,"927,841,329.00",2020-07-06
831,"1,256.18","1,280.93","1,246.80","1,265.45",9.35,0.74,"1,033,390,231.00",2020-07-05
832,"1,351.89","1,362.35","1,256.11","1,256.11",-80.41,-6.02,"476,654,971.00",2020-07-02
833,"1,261.54","1,336.52","1,261.54","1,336.52",75.77,6.01,"407,352,247.00",2020-07-01
834,"1,187.25","1,260.75","1,185.72","1,260.75",72.05,6.06,"227,212,194.00",2020-06-30
835,"1,197.09","1,200.64","1,149.73","1,188.70",-12.87,-1.07,"347,771,833.00",2020-06-29
836,"1,225.68","1,225.68","1,201.57","1,201.57",-24.58,-2.00,"3,613,523.00",2020-05-13
837,"1,250.95","1,250.95","1,226.15","1,226.15",-25.30,-2.02,"104,372,646.00",2020-05-12
838,"1,269.08","1,275.42","1,246.20","1,251.45",-18.20,-1.43,"194,642,984.00",2020-03-22
839,"1,249.26","1,278.93","1,223.04","1,269.30",13.50,1.08,"1,903,142,008.00",2020-03-19
840,"1,272.10","1,286.46","1,234.16","1,255.80",-16.26,-1.28,"1,184,416,878.00",2020-03-18
841,"1,316.74","1,321.26","1,266.44","1,272.06",-44.33,-3.37,"1,465,184,656.00",2020-03-17
842,"1,312.69","1,334.12","1,291.67","1,316.39",3.35,0.26,"1,615,341,877.00",2020-03-16
843,"1,362.25","1,362.25","1,310.71","1,313.04",-64.14,-4.66,"2,101,417,292.00",2020-03-15
844,"1,424.60","1,430.77","1,371.56","1,377.18",-45.91,-3.23,"2,206,662,182.00",2020-03-12
845,"1,349.86","1,423.09","1,349.86","1,423.09",73.78,5.47,"2,221,081,690.00",2020-03-11
846,"1,435.86","1,436.66","1,349.31","1,349.31",-86.39,-6.02,"1,076,696,300.00",2020-03-10
847,"1,442.92","1,464.62","1,408.82","1,435.70",-5.50,-0.38,"2,457,093,463.00",2020-03-05
848,"1,511.41","1,513.43","1,439.38","1,441.20",-68.47,-4.54,"2,908,472,603.00",2020-03-04
849,"1,491.23","1,540.59","1,439.53","1,509.67",14.37,0.96,"3,851,622,996.00",2020-03-03
850,"1,593.08","1,593.50","1,495.30","1,495.30",-96.06,-6.04,"2,154,428,215.00",2020-03-02
851,"1,639.87","1,667.74","1,591.36","1,591.36",-40.81,-2.50,"4,847,437,505.00",2020-03-01
852,"1,598.81","1,635.51","1,558.65","1,632.17",31.44,1.97,"4,460,536,251.00",2020-02-27
853,"1,548.32","1,596.13","1,548.32","1,596.13",50.94,3.30,"4,154,883,092.00",2020-02-26
854,"1,504.80","1,544.07","1,480.24","1,545.19",43.01,2.86,"2,992,160,524.00",2020-02-25
855,"1,507.98","1,536.83","1,499.04","1,502.18",-1.96,-0.13,"3,410,516,278.00",2020-02-24
856,"1,435.87","1,509.92","1,435.87","1,504.14",69.57,4.85,"3,608,526,354.00",2020-02-23
857,"1,405.51","1,434.57","1,405.51","1,434.57",29.32,2.09,"2,785,004,908.00",2020-02-20
858,"1,399.29","1,406.25","1,389.12","1,405.25",5.24,0.37,"1,628,841,389.00",2020-02-19
859,"1,399.47","1,416.87","1,387.68","1,400.01",1.77,0.13,"2,125,977,034.00",2020-02-18
860,"1,364.34","1,403.21","1,364.34","1,398.24",34.27,2.51,"2,687,533,442.00",2020-02-17
861,"1,344.73","1,363.97","1,344.73","1,363.97",19.38,1.44,"1,978,108,701.00",2020-02-16
862,"1,346.45","1,354.88","1,342.90","1,344.59",-1.38,-0.10,"1,773,805,746.00",2020-02-13
863,"1,341.07","1,353.29","1,340.87","1,345.97",4.59,0.34,"1,509,784,311.00",2020-02-12
864,"1,324.31","1,342.91","1,323.69","1,341.38",17.12,1.29,"1,532,250,440.00",2020-02-11
865,"1,320.77","1,329.84","1,315.37","1,324.26",4.27,0.32,"932,086,055.00",2020-02-10
866,"1,332.91","1,333.85","1,316.10","1,319.99",-13.70,-1.03,"950,402,584.00",2020-02-09
867,"1,341.03","1,346.60","1,331.02","1,333.69",-8.67,-0.65,"1,049,345,436.00",2020-02-06
868,"1,338.50","1,342.62","1,335.72","1,342.36",5.32,0.40,"1,082,483,909.00",2020-02-05
869,"1,351.01","1,353.27","1,334.09","1,337.04",-12.09,-0.90,"1,570,166,163.00",2020-02-04
870,"1,348.12","1,355.27","1,339.60","1,349.13",2.49,0.18,"1,611,719,203.00",2020-02-03
871,"1,325.62","1,349.68","1,331.87","1,346.64",21.26,1.49,"2,077,987,799.00",2020-02-02
872,"1,306.29","1,331.83","1,306.29","1,325.38",19.50,1.49,"1,966,219,749.00",2020-01-30
873,"1,306.16","1,311.74","1,302.14","1,305.88",-0.27,-0.02,"1,293,711,383.00",2020-01-29
874,"1,300.65","1,316.44","1,300.65","1,306.15",5.53,0.43,"1,400,467,805.00",2020-01-28
875,"1,276.68","1,300.62","1,274.03","1,300.62",23.94,1.88,"917,359,865.00",2020-01-27
876,"1,298.67","1,299.46","1,275.52","1,276.68",-20.79,-1.60,"965,018,662.00",2020-01-26
877,"1,314.16","1,320.76","1,295.80","1,297.47",-15.95,-1.21,"1,384,209,412.00",2020-01-23
878,"1,324.32","1,325.69","1,310.64","1,313.42",-7.05,-0.53,"1,581,381,364.00",2020-01-22
879,"1,318.65","1,331.28","1,309.14","1,320.47",3.36,0.26,"1,519,976,760.00",2020-01-21
880,"1,342.70","1,359.32","1,308.62","1,317.11",-26.54,-1.98,"1,953,780,000.00",2020-01-20
881,"1,310.26","1,349.10","1,310.26","1,343.65",33.42,2.55,"2,090,877,917.00",2020-01-19
882,"1,284.28","1,313.19","1,284.28","1,310.23",26.00,2.02,"1,682,330,000.00",2020-01-16
883,"1,263.32","1,287.20","1,263.32","1,284.23",20.85,1.65,"893,677,000.00",2020-01-15
884,"1,271.11","1,274.86","1,254.30","1,263.38",-7.48,-0.59,"1,026,443,666.00",2020-01-14
885,"1,260.01","1,285.50","1,259.34","1,270.86",15.14,1.21,"1,665,520,000.00",2020-01-13
886,"1,213.19","1,255.72","1,213.19","1,255.72",42.61,3.51,"1,335,747,967.00",2020-01-12
887,"1,209.87","1,216.23","1,206.49","1,213.11",3.51,0.29,"837,035,757.00",2020-01-09
888,"1,217.82","1,223.66","1,207.26","1,209.60",-7.32,-0.60,"732,169,261.00",2020-01-08
889,"1,200.65","1,218.14","1,200.65","1,216.92",16.23,1.35,"1,102,736,748.00",2020-01-07
890,"1,183.35","1,200.69","1,183.35","1,200.69",18.38,1.55,"842,582,150.00",2020-01-06
891,"1,166.49","1,187.33","1,163.39","1,182.31",16.10,1.38,"712,425,827.00",2020-01-05
892,"1,168.63","1,169.27","1,165.24","1,166.21",-3.29,-0.28,"532,211,211.00",2020-01-02
893,"1,166.52","1,169.50","1,163.99","1,169.50",3.47,0.30,"372,988,301.00",2020-01-01
894,"1,168.61","1,171.48","1,163.02","1,166.03",-1.92,-0.16,"442,256,156.00",2019-12-31
895,"1,161.82","1,167.95","1,159.25","1,167.95",5.52,0.47,"622,363,488.00",2019-12-30
896,"1,166.86","1,167.24","1,159.23","1,162.43",-4.98,-0.43,"422,453,909.00",2019-12-29
897,"1,167.74","1,170.45","1,165.94","1,167.41",-0.62,-0.05,"588,677,887.00",2019-12-26
898,"1,166.56","1,173.14","1,165.77","1,168.03",1.82,0.16,"538,340,829.00",2019-12-25
899,"1,169.32","1,176.70","1,164.85","1,166.21",-2.37,-0.20,"721,642,965.00",2019-12-24
900,"1,150.92","1,168.79","1,150.92","1,168.58",17.77,1.54,"595,764,544.00",2019-12-23
901,"1,149.62","1,151.30","1,147.67","1,150.81",1.17,0.10,"374,466,465.00",2019-12-22
902,"1,152.06","1,154.28","1,148.35","1,149.64",-2.43,-0.21,"419,088,133.00",2019-12-19
903,"1,155.32","1,158.15","1,150.14","1,152.07",-3.30,-0.29,"294,709,858.00",2019-12-18
904,"1,154.86","1,158.36","1,150.66","1,155.37",1.26,0.11,"279,244,135.00",2019-12-17
905,"1,167.82","1,170.56","1,153.23","1,154.11",-13.75,-1.18,"407,900,555.00",2019-12-16
906,"1,172.44","1,181.70","1,167.86","1,167.86",-4.78,-0.41,"686,076,111.00",2019-12-15
907,"1,162.25","1,175.30","1,159.91","1,172.64",9.27,0.80,"675,173,000.00",2019-12-12
908,"1,155.05","1,166.15","1,153.14","1,161.47",10.11,0.88,"551,377,852.00",2019-12-11
909,"1,149.09","1,158.11","1,147.43","1,151.36",2.47,0.21,"500,328,915.00",2019-12-10
910,"1,135.36","1,155.06","1,132.88","1,148.89",13.52,1.19,"464,220,392.00",2019-12-09
911,"1,131.92","1,135.37","1,125.81","1,135.37",3.45,0.30,"287,527,825.00",2019-12-08
912,"1,124.47","1,134.93","1,124.44","1,131.92",7.45,0.66,"358,839,860.00",2019-12-05
913,"1,116.12","1,128.00","1,116.12","1,124.47",8.73,0.78,"308,214,465.00",2019-12-04
914,"1,112.06","1,117.82","1,111.19","1,115.74",3.75,0.34,"266,801,558.00",2019-12-03
915,"1,112.87","1,113.73","1,110.98","1,111.99",-0.86,-0.08,"232,259,331.00",2019-12-02
916,"1,112.79","1,114.31","1,109.97","1,112.85",0.06,0.01,"206,314,323.00",2019-12-01
917,"1,117.64","1,119.63","1,112.79","1,112.79",-4.67,-0.42,"243,391,320.00",2019-11-28
918,"1,109.09","1,117.46","1,108.02","1,117.46",7.38,0.66,"212,363,736.00",2019-11-27
919,"1,110.08","1,111.76","1,107.57","1,109.16",-0.92,-0.08,"295,869,180.00",2019-11-26
920,"1,110.11","1,112.15","1,102.46","1,110.08",0.00,0.00,"288,858,484.00",2019-11-25
921,"1,120.62","1,121.94","1,108.76","1,110.08",-10.52,-0.94,"280,534,415.00",2019-11-24
922,"1,128.34","1,128.69","1,118.10","1,120.60",-7.74,-0.69,"297,797,071.00",2019-11-21
923,"1,130.01","1,139.74","1,127.63","1,128.34",-1.65,-0.15,"303,724,204.00",2019-11-20
924,"1,131.13","1,132.40","1,127.91","1,129.99",-1.13,-0.10,"259,330,595.00",2019-11-19
925,"1,131.40","1,133.43","1,128.00","1,131.12",-0.24,-0.02,"356,861,857.00",2019-11-18
926,"1,135.73","1,137.25","1,129.15","1,131.36",-4.59,-0.40,"355,159,768.00",2019-11-17
927,"1,135.15","1,139.41","1,133.67","1,135.95",0.79,0.07,"228,357,493.00",2019-11-14
928,"1,140.65","1,140.65","1,133.49","1,135.16",-4.80,-0.42,"275,427,886.00",2019-11-13
929,"1,146.14","1,147.06","1,138.57","1,139.96",-5.61,-0.49,"379,849,435.00",2019-11-12
930,"1,132.70","1,147.74","1,132.70","1,145.57",13.77,1.22,"549,998,241.00",2019-11-11
931,"1,132.47","1,135.90","1,129.89","1,131.80",-0.17,-0.02,"293,149,044.00",2019-11-10
932,"1,138.27","1,139.36","1,131.33","1,131.97",-6.05,-0.53,"374,150,571.00",2019-11-07
933,"1,139.49","1,141.08","1,136.74","1,138.02",-1.43,-0.13,"206,253,847.00",2019-11-06
934,"1,140.21","1,141.86","1,138.66","1,139.45",-0.81,-0.07,"284,472,501.00",2019-11-05
935,"1,139.57","1,141.13","1,135.96","1,140.26",0.97,0.09,"191,854,333.00",2019-11-04
936,"1,145.83","1,146.88","1,136.39","1,139.29",-6.88,-0.60,"175,544,472.00",2019-11-03
937,"1,149.74","1,151.48","1,143.07","1,146.17",-3.17,-0.28,"254,312,462.00",2019-10-31
938,"1,142.41","1,150.47","1,141.39","1,149.34",6.74,0.59,"327,632,258.00",2019-10-24
939,"1,135.40","1,142.82","1,135.40","1,142.60",7.81,0.69,"163,757,847.00",2019-10-23
940,"1,132.45","1,134.81","1,130.21","1,134.79",2.39,0.21,"165,296,005.00",2019-10-22
941,"1,133.73","1,135.84","1,130.14","1,132.40",-1.31,-0.12,"164,349,536.00",2019-10-21
942,"1,137.69","1,138.99","1,132.58","1,133.71",-4.04,-0.36,"113,359,956.00",2019-10-20
943,"1,137.03","1,140.38","1,135.87","1,137.75",0.72,0.06,"182,994,905.00",2019-10-17
944,"1,142.39","1,142.71","1,136.00","1,137.03",-5.01,-0.44,"196,618,963.00",2019-10-16
945,"1,138.38","1,142.04","1,135.86","1,142.04",5.08,0.45,"222,452,078.00",2019-10-15
946,"1,149.01","1,151.52","1,135.04","1,136.96",-12.05,-1.05,"218,635,691.00",2019-10-14
947,"1,149.03","1,151.81","1,148.13","1,149.01",-0.39,-0.03,"63,845,411.00",2019-10-10
948,"1,142.44","1,149.40","1,138.58","1,149.40",8.69,0.76,"176,633,514.00",2019-10-03
949,"1,145.69","1,149.70","1,140.07","1,140.71",-4.98,-0.43,"203,287,237.00",2019-10-02
950,"1,135.05","1,146.11","1,134.82","1,145.69",10.13,0.89,"311,488,652.00",2019-10-01
951,"1,125.49","1,135.56","1,121.09","1,135.56",10.42,0.93,"168,828,923.00",2019-09-30
952,"1,129.81","1,131.87","1,123.66","1,125.14",-4.66,-0.41,"241,498,554.00",2019-09-29
953,"1,131.52","1,133.80","1,128.61","1,129.80",-1.73,-0.15,"212,541,352.00",2019-09-26
954,"1,134.56","1,135.26","1,130.88","1,131.53",-3.03,-0.27,"166,921,799.00",2019-09-25
955,"1,140.99","1,141.62","1,132.72","1,134.56",-6.42,-0.56,"218,278,449.00",2019-09-24
956,"1,139.92","1,147.85","1,137.87","1,140.98",1.73,0.15,"177,279,039.00",2019-09-23
957,"1,155.30","1,157.79","1,135.18","1,139.25",-16.05,-1.39,"226,950,238.00",2019-09-22
958,"1,173.44","1,178.28","1,155.30","1,155.30",-16.85,-1.44,"399,930,871.00",2019-09-19
959,"1,150.65","1,173.14","1,150.65","1,172.15",21.41,1.86,"455,311,885.00",2019-09-18
960,"1,127.26","1,152.51","1,127.26","1,150.74",26.91,2.39,"383,957,426.00",2019-09-17
961,"1,140.49","1,140.55","1,122.02","1,123.83",-16.18,-1.42,"343,918,221.00",2019-09-16
962,"1,157.68","1,160.55","1,140.01","1,140.01",-17.87,-1.54,"288,099,912.00",2019-09-15
963,"1,163.71","1,164.09","1,156.37","1,157.88",-5.33,-0.46,"376,184,491.00",2019-09-12
964,"1,166.68","1,168.06","1,161.95","1,163.21",-3.46,-0.30,"341,745,136.00",2019-09-11
965,"1,168.91","1,172.82","1,161.20","1,166.67",-2.24,-0.19,"237,959,653.00",2019-09-10
966,"1,178.47","1,180.28","1,166.09","1,168.91",-9.55,-0.81,"299,200,764.00",2019-09-09
967,"1,192.07","1,192.33","1,176.41","1,178.46",-12.61,-1.06,"305,310,719.00",2019-09-08
968,"1,195.89","1,196.92","1,189.05","1,191.07",-3.70,-0.31,"290,177,357.00",2019-09-05
969,"1,192.21","1,198.48","1,183.40","1,194.77",3.87,0.32,"436,444,688.00",2019-09-04
970,"1,170.87","1,190.90","1,156.72","1,190.90",20.56,1.76,"510,552,041.00",2019-09-03
971,"1,184.93","1,190.88","1,167.81","1,170.34",-14.44,-1.22,"407,569,712.00",2019-09-02
972,"1,196.60","1,198.51","1,184.06","1,184.78",-11.63,-0.97,"297,398,003.00",2019-09-01
973,"1,198.49","1,201.23","1,194.09","1,196.41",-1.34,-0.11,"277,359,659.00",2019-08-29
